Wilayah,HLS_2019
ACEH,14.3
SUMATERA UTARA,13.15
SUMATERA BARAT,14.01
RIAU,13.14
JAMBI,12.93
SUMATERA SELATAN,12.39
BENGKULU,13.59
LAMPUNG,12.63
KEPULAUAN BANGKA BELITUNG,11.94
KEPULAUAN RIAU,12.83
DKI JAKARTA,12.97
JAWA BARAT,12.48
JAWA TENGAH,12.68
DI YOGYAKARTA,15.58
JAWA TIMUR,13.16
BANTEN,12.88
BALI,13.27
NUSA TENGGARA BARAT,13.48
NUSA TENGGARA TIMUR,13.15
KALIMANTAN BARAT,12.58
KALIMANTAN TENGAH,12.57
KALIMANTAN SELATAN,12.52
KALIMANTAN TIMUR,13.69
KALIMANTAN UTARA,12.84
SULAWESI UTARA,12.73
SULAWESI TENGAH,13.14
SULAWESI SELATAN,13.36
SULAWESI TENGGARA,13.55
GORONTALO,13.06
SULAWESI BARAT,12.62
MALUKU,13.94
MALUKU UTARA,13.63
PAPUA BARAT,12.72
PAPUA,11.05
