Wilayah,Laju_Pertumbuhan_2023
ACEH,4.23
SUMATERA UTARA,5.01
SUMATERA BARAT,4.62
RIAU,4.21
JAMBI,4.67
SUMATERA SELATAN,5.08
BENGKULU,4.28
LAMPUNG,4.55
KEPULAUAN BANGKA BELITUNG,4.38
KEPULAUAN RIAU,5.16
DKI JAKARTA,4.96
JAWA BARAT,5
JAWA TENGAH,4.97
DI YOGYAKARTA,5.07
JAWA TIMUR,4.95
BANTEN,4.81
BALI,5.71
NUSA TENGGARA BARAT,1.8
NUSA TENGGARA TIMUR,3.47
KALIMANTAN BARAT,4.46
KALIMANTAN TENGAH,4.14
KALIMANTAN SELATAN,4.84
KALIMANTAN TIMUR,6.22
KALIMANTAN UTARA,4.94
SULAWESI UTARA,5.48
SULAWESI TENGAH,11.91
SULAWESI SELATAN,4.51
SULAWESI TENGGARA,5.35
GORONTALO,4.5
SULAWESI BARAT,5.23
MALUKU,5.21
MALUKU UTARA,20.49
PAPUA BARAT,5.18
PAPUA,4.22
