Wilayah,PengeluaranPerKapita_2020
ACEH,9492000
SUMATERA UTARA,10420000
SUMATERA BARAT,10733000
RIAU,10675000
JAMBI,10392000
SUMATERA SELATAN,10652000
BENGKULU,10380000
LAMPUNG,9982000
KEPULAUAN BANGKA BELITUNG,12794000
KEPULAUAN RIAU,14209000
DKI JAKARTA,18227000
JAWA BARAT,10845000
JAWA TENGAH,10930000
DI YOGYAKARTA,14015000
JAWA TIMUR,11601000
BANTEN,11964000
BALI,13929000
NUSA TENGGARA BARAT,10351000
NUSA TENGGARA TIMUR,7598000
KALIMANTAN BARAT,8930000
KALIMANTAN TENGAH,11154000
KALIMANTAN SELATAN,12032000
KALIMANTAN TIMUR,11728000
KALIMANTAN UTARA,8756000
SULAWESI UTARA,10791000
SULAWESI TENGAH,9335000
SULAWESI SELATAN,11079000
SULAWESI TENGGARA,9331000
GORONTALO,10020000
SULAWESI BARAT,9168000
MALUKU,8732000
MALUKU UTARA,8032000
PAPUA BARAT,8086000
PAPUA,6954000
