Wilayah,RLS_2021
ACEH,9.37
SUMATERA UTARA,9.58
SUMATERA BARAT,9.07
RIAU,9.19
JAMBI,8.6
SUMATERA SELATAN,8.3
BENGKULU,8.87
LAMPUNG,8.08
KEPULAUAN BANGKA BELITUNG,8.08
KEPULAUAN RIAU,10.18
DKI JAKARTA,11.17
JAWA BARAT,8.61
JAWA TENGAH,7.75
DI YOGYAKARTA,9.64
JAWA TIMUR,7.88
BANTEN,8.93
BALI,9.06
NUSA TENGGARA BARAT,7.38
NUSA TENGGARA TIMUR,7.69
KALIMANTAN BARAT,7.45
KALIMANTAN TENGAH,8.64
KALIMANTAN SELATAN,8.34
KALIMANTAN TIMUR,9.84
KALIMANTAN UTARA,9.11
SULAWESI UTARA,9.62
SULAWESI TENGAH,8.89
SULAWESI SELATAN,8.46
SULAWESI TENGGARA,9.13
GORONTALO,7.9
SULAWESI BARAT,7.96
MALUKU,10.03
MALUKU UTARA,9.09
PAPUA BARAT,7.69
PAPUA,6.76
