Wilayah,UHH_2022
ACEH,70.18
SUMATERA UTARA,69.61
SUMATERA BARAT,69.9
RIAU,71.95
JAMBI,71.5
SUMATERA SELATAN,70.32
BENGKULU,69.69
LAMPUNG,70.99
KEP. BANGKA BELITUNG,70.98
KEPULAUAN RIAU,70.5
DKI JAKARTA,73.32
JAWA BARAT,73.52
JAWA TENGAH,74.57
D I YOGYAKARTA,75.08
JAWA TIMUR,71.74
BANTEN,70.39
BALI,72.6
NUSA TENGGARA BARAT,67.07
NUSA TENGGARA TIMUR,67.47
KALIMANTAN BARAT,71.02
KALIMANTAN TENGAH,70.04
KALIMANTAN SELATAN,69.13
KALIMANTAN TIMUR,74.62
KALIMANTAN UTARA,72.67
SULAWESI UTARA,72.08
SULAWESI TENGAH,68.93
SULAWESI SELATAN,70.97
SULAWESI TENGGARA,71.37
GORONTALO,68.51
SULAWESI BARAT,65.63
MALUKU,66.45
MALUKU UTARA,68.79
PAPUA BARAT,66.46
PAPUA,66.23
